name_clean,name_real
south_west_holderness,South West Holderness
south,South
southdown,Southdown
southway,Southway
southchurch,Southchurch
south_chafford,South Chafford
southcote,Southcote
sonning,Sonning
south_lake,South Lake
south_portslade,South Portslade
soham_north,Soham North
soham_south,Soham South
solway,Solway
somercotes,Somercotes
south_west_parishes,South West Parishes
south_normanton_east,South Normanton East
south_normanton_west,South Normanton West
south_molton,South Molton
sovereign,Sovereign
south_weald,South Weald
south_hanningfield_stock_and_margaretting,South Hanningfield, Stock and Margaretting
south_woodham_chetwood_and_collingwood,South Woodham-Chetwood and Collingwood
south_woodham_elmwood_and_woodville,South Woodham-Elmwood and Woodville
southminster,Southminster
south_ham,South Ham
sopwell,Sopwell
south_willesborough,South Willesborough
southborough_and_high_brooms,Southborough and High Brooms
southborough_north,Southborough North
somerby,Somerby
south_wigston,South Wigston
southtown_and_cobholm,Southtown and Cobholm
south_and_west_lynn,South and West Lynn
south_downham,South Downham
south_petherton,South Petherton
south_cosford,South Cosford
southwold_and_reydon,Southwold and Reydon
south_park_and_woodhatch,South Park and Woodhatch
southlands,Southlands
southwick_green,Southwick Green
southbourne,Southbourne
south_bredon_hill,South Bredon Hill
somersham,Somersham
south_blyth,South Blyth
south_tynedale,South Tynedale
south_oxhey,South Oxhey
south_wootton,South Wootton
sowerby_topcliffe,Sowerby & Topcliffe
sonning_common,Sonning Common
south_milford,South Milford
southwell,Southwell
southwater,Southwater
south_brent,South Brent
southam_north,Southam North
southam_south,Southam South
southcourt,Southcourt
south_tawton,South Tawton
south_cerney_village,South Cerney Village
southey,Southey
southmead,Southmead
southville,Southville
southwick_wickham,Southwick & Wickham
south_kintyre,South Kintyre
southside_newington,Southside/Newington
southside_central,Southside Central
solva,Solva
