name_clean,name_real
radcliffe_east,Radcliffe East
radcliffe_north,Radcliffe North
radcliffe_west,Radcliffe West
ramsbottom,Ramsbottom
rainford,Rainford
rainhill,Rainhill
ravenmeols,Ravenmeols
rawmarsh,Rawmarsh
radford,Radford
rastrick,Rastrick
radford_and_park,Radford and Park
radstock,Radstock
rainham_central,Rainham Central
rainham_north,Rainham North
rainham_south,Rainham South
ravenstonedale,Ravenstonedale
raleigh,Raleigh
radipole,Radipole
ratton,Ratton
ramsey_and_parkeston,Ramsey and Parkeston
ravenhurst_and_fosse,Ravenhurst and Fosse
ratby_bagworth_and_thornton,Ratby, Bagworth and Thornton
ramshill,Ramshill
rampton,Rampton
ranskill,Ranskill
rawnsley,Rawnsley
ravenscliffe,Ravenscliffe
rattlesden,Rattlesden
rainbow_hill,Rainbow Hill
radbrook,Radbrook
ramsey,Ramsey
racecourse,Racecourse
ransom_wood,Ransom Wood
ravensthorpe,Ravensthorpe
rame_peninsular,Rame Peninsular
raskelf_white_horse,Raskelf & White Horse
radcliffe_on_trent,Radcliffe on Trent
radford_semele,Radford Semele
rainworth_north_rufford,Rainworth North & Rufford
rainworth_south_blidworth,Rainworth South & Blidworth
ravenstone_packington,Ravenstone & Packington
rawcliffe_clifton_without,Rawcliffe & Clifton Without
rayne,Rayne
raunds_saxon,Raunds Saxon
raunds_windmill,Raunds Windmill
randwick_whiteshill_ruscombe,Randwick, Whiteshill & Ruscombe
raglan,Raglan
radyr,Radyr
rassau,Rassau
randalstown,Randalstown
rathfriland,Rathfriland
ravenhill,Ravenhill
rasharkin,Rasharkin
ravernet,Ravernet
rathgael,Rathgael
