name_clean,name_real
stopnik,Stopnik
stehanja_vas,Stehanja vas
stranje_pri_dobrnicu,Stranje pri Dobrniču
stranje_pri_velikem_gabru,Stranje pri Velikem Gabru
stope,Stope
strletje,Strletje
strmec_pri_leskovcu,Strmec pri Leskovcu
stenica,Stenica
straza_pri_dolu,Straža pri Dolu
straza_pri_novi_cerkvi,Straža pri Novi Cerkvi
strazica,Stražica
stara_vrhnika,Stara Vrhnika
strahovlje,Strahovlje
stranice,Stranice
studenec_na_blokah,Studenec na Blokah
studeno_na_blokah,Studeno na Blokah
strmec_nad_dobrno,Strmec nad Dobrno
strehovci,Strehovci
stare_zage,Stare Žage
stelnik,Stelnik
struznica,Stružnica
stara_nova_vas,Stara Nova vas
stojnci,Stojnci
strelci,Strelci
straza_pri_oplotnici,Straža pri Oplotnici
stanosina,Stanošina
strajna,Strajna
stavca_vas,Stavča vas
stara_gora_pri_vel_gabru,Stara gora pri Vel. Gabru
stranske_makole,Stranske Makole
strug,Strug
stanovsko,Stanovsko
studenice,Studenice
strelac,Strelac
stan,Stan
studienka,Studienka
stara_myjava,Stará Myjava
stara_lehota,Stará Lehota
stara_tura,Stará Turá
stupne,Stupné
strezenice,Streženice
stary_hradok,Starý Hrádok
stary_tekov,Starý Tekov
strekov,Strekov
stara_bystrica,Stará Bystrica
staskov,Staškov
stankovany,Stankovany
stranavy,Stráňavy
stranske,Stránske
strecno,Strečno
stare_hory,Staré Hory
strelniky,Strelníky
stara_huta,Stará Huta
stozok,Stožok
stara_halic,Stará Halič
stara_basta,Stará Bašta
stranska,Stránska
stredne_plachtince,Stredné Plachtince
stara_kremnicka,Stará Kremnička
stebnicka_huta,Stebnícka Huta
stebnik,Stebník
stulany,Stuľany
stara_lesna,Stará Lesná
strane_pod_tatrami,Stráne pod Tatrami
stakcinska_roztoka,Stakčínska Roztoka
stakcin,Stakčín
strihovce,Strihovce
stara_lubovna,Stará Ľubovňa
starina,Starina
stranany,Stráňany
staskovce,Staškovce
stropkov,Stropkov
strocin,Stročín
stare,Staré
strazske,Strážske
stretava,Stretava
stretavka,Stretavka
stratena,Stratená
stanca,Stanča
stankovce,Stankovce
streda_nad_bodrogom,Streda nad Bodrogom
st_michaels,St. Michael's
stonebridge,Stonebridge
st_pancras_and_somers_town,St. Pancras and Somers Town
st_anns,St. Ann's
stroud_green,Stroud Green
stanmore_park,Stanmore Park
st_andrews,St. Andrew's
st_georges,St. George's
st_james,St. James
st_marks,St. Mark's
st_leonards,St. Leonard's
stockwell,Stockwell
streatham_hill,Streatham Hill
streatham_south,Streatham South
streatham_wells,Streatham Wells
st_helier,St. Helier
stratford_and_new_town,Stratford and New Town
st_margarets_and_north_twickenham,St. Margarets and North Twickenham
stonecot,Stonecot
st_marys_park,St. Mary's Park
st_jamess,St. James's
stepping_hill,Stepping Hill
stalybridge_north,Stalybridge North
